Attendance_ID,Employee_ID,Date,Status,Working_Hours,Overtime_Hours,Year,Month,Month_Name,Day_Name,Day_Type
1,1001,2025-12-26,Present,8.3,1.5,2025,12,December,Friday,Weekday
2,1001,2025-06-16,Present,8.7,2.2,2025,6,June,Monday,Weekday
3,1001,2025-10-23,Present,8.5,0.7,2025,10,October,Thursday,Weekday
4,1001,2025-05-27,Present,8.1,0.1,2025,5,May,Tuesday,Weekday
5,1001,2025-07-23,Present,8.4,2.2,2025,7,July,Wednesday,Weekday
6,1001,2025-07-21,Present,8.4,1.8,2025,7,July,Monday,Weekday
7,1001,2025-09-03,Present,8.7,1.6,2025,9,September,Wednesday,Weekday
8,1001,2025-10-03,Present,7.0,3.3,2025,10,October,Friday,Weekday
9,1001,2025-02-20,Present,7.3,3.0,2025,2,February,Thursday,Weekday
10,1001,2025-05-12,Present,9.3,0.0,2025,5,May,Monday,Weekday
11,1001,2025-10-28,Present,8.9,0.0,2025,10,October,Tuesday,Weekday
12,1001,2025-01-29,Present,8.6,2.2,2025,1,January,Wednesday,Weekday
13,1001,2025-06-24,Present,9.3,1.5,2025,6,June,Tuesday,Weekday
14,1001,2025-06-09,Present,8.8,0.9,2025,6,June,Monday,Weekday
15,1001,2025-06-18,Present,8.8,1.4,2025,6,June,Wednesday,Weekday
16,1001,2025-11-07,Present,8.9,0.0,2025,11,November,Friday,Weekday
17,1001,2025-09-12,Present,9.2,1.1,2025,9,September,Friday,Weekday
18,1001,2025-06-03,Present,8.1,1.1,2025,6,June,Tuesday,Weekday
19,1001,2025-04-15,WFH,7.6,2.8,2025,4,April,Tuesday,Weekday
20,1001,2025-05-16,Present,7.5,1.3,2025,5,May,Friday,Weekday
21,1001,2025-08-12,Present,9.0,0.7,2025,8,August,Tuesday,Weekday
22,1001,2025-08-08,Present,7.2,0.6,2025,8,August,Friday,Weekday
23,1001,2025-04-24,Leave,0.0,0.0,2025,4,April,Thursday,Weekday
24,1001,2025-02-05,Present,8.1,1.3,2025,2,February,Wednesday,Weekday
25,1001,2025-05-19,Present,7.9,0.0,2025,5,May,Monday,Weekday
26,1001,2025-11-26,Present,9.2,0.7,2025,11,November,Wednesday,Weekday
27,1001,2025-11-17,Present,9.0,0.0,2025,11,November,Monday,Weekday
28,1001,2025-02-27,Present,8.3,1.8,2025,2,February,Thursday,Weekday
29,1001,2025-08-14,Present,7.5,0.0,2025,8,August,Thursday,Weekday
30,1001,2025-11-28,Absent,0.0,0.0,2025,11,November,Friday,Weekday
31,1001,2025-12-24,Present,9.2,1.8,2025,12,December,Wednesday,Weekday
32,1001,2025-06-06,Present,9.1,0.6,2025,6,June,Friday,Weekday
33,1001,2025-10-16,Present,8.3,1.2,2025,10,October,Thursday,Weekday
34,1001,2025-04-21,Present,8.3,0.3,2025,4,April,Monday,Weekday
35,1001,2025-05-05,Absent,0.0,0.0,2025,5,May,Monday,Weekday
36,1001,2025-04-17,Present,7.5,0.0,2025,4,April,Thursday,Weekday
37,1001,2025-05-15,Present,7.1,2.4,2025,5,May,Thursday,Weekday
38,1001,2025-09-05,Present,7.7,1.5,2025,9,September,Friday,Weekday
39,1001,2025-04-10,Present,8.3,0.6,2025,4,April,Thursday,Weekday
40,1001,2025-03-04,Absent,0.0,0.0,2025,3,March,Tuesday,Weekday
