Leave_ID,Employee_ID,Leave_Date,Leave_Type,Leave_Days,Approval_Status,Leave_Year,Leave_Month,Leave_Month_Name
1,1006,2025-03-19,Casual Leave,3,Approved,2025,3,March
2,1266,2025-03-18,Sick Leave,2,Approved,2025,3,March
3,1157,2025-05-06,Earned Leave,3,Approved,2025,5,May
4,1378,2025-10-03,Casual Leave,1,Pending,2025,10,October
5,1044,2025-01-28,Sick Leave,1,Pending,2025,1,January
6,1372,2025-11-05,Earned Leave,1,Approved,2025,11,November
7,1186,2025-12-19,Emergency Leave,2,Approved,2025,12,December
8,1200,2025-10-29,Casual Leave,1,Approved,2025,10,October
9,1149,2025-09-21,Sick Leave,1,Approved,2025,9,September
10,1094,2025-04-04,Sick Leave,1,Rejected,2025,4,April
11,1444,2025-01-16,Emergency Leave,1,Approved,2025,1,January
12,1286,2025-06-28,Emergency Leave,1,Approved,2025,6,June
13,1431,2025-11-26,Casual Leave,1,Approved,2025,11,November
14,1148,2025-03-04,Emergency Leave,3,Approved,2025,3,March
15,1301,2025-07-01,Sick Leave,1,Approved,2025,7,July
16,1115,2025-09-03,Sick Leave,1,Approved,2025,9,September
17,1491,2025-09-17,Emergency Leave,1,Approved,2025,9,September
18,1131,2025-06-24,Earned Leave,1,Approved,2025,6,June
19,1099,2025-05-06,Earned Leave,2,Approved,2025,5,May
20,1458,2025-03-20,Earned Leave,1,Approved,2025,3,March
21,1380,2025-10-30,Sick Leave,1,Approved,2025,10,October
22,1486,2025-06-27,Earned Leave,2,Approved,2025,6,June
23,1062,2025-11-24,Sick Leave,1,Approved,2025,11,November
24,1426,2025-08-19,Casual Leave,1,Approved,2025,8,August
25,1300,2025-07-07,Casual Leave,1,Approved,2025,7,July
26,1337,2025-10-07,Emergency Leave,2,Approved,2025,10,October
27,1445,2025-05-12,Casual Leave,3,Approved,2025,5,May
28,1274,2025-10-04,Emergency Leave,1,Approved,2025,10,October
29,1484,2025-07-04,Earned Leave,2,Approved,2025,7,July
30,1459,2025-10-17,Casual Leave,1,Approved,2025,10,October
31,1251,2025-04-05,Emergency Leave,1,Approved,2025,4,April
32,1272,2025-04-27,Sick Leave,3,Approved,2025,4,April
33,1218,2025-03-04,Earned Leave,1,Rejected,2025,3,March
34,1485,2025-06-14,Emergency Leave,1,Approved,2025,6,June
35,1427,2025-02-02,Casual Leave,1,Pending,2025,2,February
36,1376,2025-12-22,Earned Leave,1,Approved,2025,12,December
37,1117,2025-07-16,Sick Leave,2,Approved,2025,7,July
38,1071,2025-09-09,Sick Leave,3,Rejected,2025,9,September
39,1398,2025-05-21,Earned Leave,2,Approved,2025,5,May
40,1173,2025-05-15,Earned Leave,1,Approved,2025,5,May
41,1274,2025-10-04,Emergency Leave,2,Rejected,2025,10,October
42,1454,2025-11-01,Casual Leave,1,Approved,2025,11,November
43,1458,2025-02-04,Sick Leave,1,Approved,2025,2,February
44,1080,2025-10-04,Emergency Leave,1,Rejected,2025,10,October
45,1427,2025-05-01,Earned Leave,1,Approved,2025,5,May
46,1088,2025-03-26,Casual Leave,1,Approved,2025,3,March
47,1032,2025-09-23,Earned Leave,2,Approved,2025,9,September
48,1347,2025-11-17,Emergency Leave,1,Approved,2025,11,November
49,1345,2025-09-07,Emergency Leave,1,Approved,2025,9,September
50,1063,2025-08-09,Emergency Leave,1,Approved,2025,8,August
51,1092,2025-08-21,Earned Leave,1,Approved,2025,8,August
52,1340,2025-11-06,Casual Leave,1,Approved,2025,11,November
53,1401,2025-12-08,Emergency Leave,1,Approved,2025,12,December
54,1200,2025-02-06,Emergency Leave,1,Approved,2025,2,February
55,1228,2025-09-29,Emergency Leave,1,Approved,2025,9,September
56,1339,2025-04-15,Earned Leave,1,Approved,2025,4,April
57,1026,2025-09-23,Sick Leave,1,Approved,2025,9,September
58,1244,2025-02-20,Sick Leave,2,Approved,2025,2,February
59,1023,2025-04-01,Casual Leave,1,Approved,2025,4,April
60,1433,2025-08-02,Emergency Leave,1,Rejected,2025,8,August
61,1432,2025-02-04,Earned Leave,2,Approved,2025,2,February
62,1436,2025-04-02,Sick Leave,1,Approved,2025,4,April
63,1359,2025-08-21,Earned Leave,1,Pending,2025,8,August
64,1004,2025-09-18,Sick Leave,1,Approved,2025,9,September
65,1447,2025-03-04,Casual Leave,1,Rejected,2025,3,March
66,1084,2025-04-25,Sick Leave,1,Approved,2025,4,April
67,1362,2025-08-23,Emergency Leave,1,Approved,2025,8,August
68,1393,2025-10-03,Casual Leave,2,Rejected,2025,10,October
69,1481,2025-04-16,Earned Leave,1,Approved,2025,4,April
70,1320,2025-12-26,Emergency Leave,1,Approved,2025,12,December
71,1481,2025-07-17,Earned Leave,2,Approved,2025,7,July
72,1009,2025-07-02,Sick Leave,2,Pending,2025,7,July
73,1005,2025-06-24,Earned Leave,1,Approved,2025,6,June
74,1497,2025-10-22,Casual Leave,2,Approved,2025,10,October
75,1286,2025-02-24,Emergency Leave,3,Approved,2025,2,February
76,1436,2025-08-02,Sick Leave,1,Approved,2025,8,August
77,1113,2025-09-02,Sick Leave,1,Approved,2025,9,September
78,1491,2025-11-13,Earned Leave,1,Pending,2025,11,November
79,1352,2025-05-12,Earned Leave,1,Approved,2025,5,May
80,1399,2025-10-23,Emergency Leave,1,Approved,2025,10,October
81,1415,2025-04-30,Casual Leave,1,Rejected,2025,4,April
82,1072,2025-07-29,Sick Leave,1,Approved,2025,7,July
83,1442,2025-06-21,Sick Leave,1,Approved,2025,6,June
84,1043,2025-04-30,Earned Leave,1,Rejected,2025,4,April
85,1440,2025-10-02,Sick Leave,1,Approved,2025,10,October
86,1382,2025-12-23,Emergency Leave,1,Approved,2025,12,December
87,1272,2025-12-03,Casual Leave,3,Approved,2025,12,December
88,1178,2025-09-19,Sick Leave,1,Rejected,2025,9,September
89,1486,2025-01-30,Earned Leave,2,Approved,2025,1,January
90,1147,2025-06-21,Earned Leave,1,Approved,2025,6,June
91,1077,2025-04-13,Casual Leave,1,Approved,2025,4,April
92,1241,2025-11-01,Unknown,2,Approved,2025,11,November
93,1461,2025-02-11,Casual Leave,2,Approved,2025,2,February
94,1440,2025-11-20,Earned Leave,1,Approved,2025,11,November
95,1281,2025-12-20,Earned Leave,1,Approved,2025,12,December
96,1471,2025-12-23,Earned Leave,1,Approved,2025,12,December
97,1277,2025-01-18,Emergency Leave,3,Approved,2025,1,January
98,1062,2025-01-19,Emergency Leave,1,Approved,2025,1,January
99,1116,2025-03-27,Earned Leave,1,Rejected,2025,3,March
100,1395,2025-07-18,Earned Leave,1,Rejected,2025,7,July
101,1087,2025-07-13,Casual Leave,1,Approved,2025,7,July
102,1009,2025-01-12,Earned Leave,1,Approved,2025,1,January
103,1216,2025-12-29,Earned Leave,1,Approved,2025,12,December
104,1072,2025-03-30,Emergency Leave,2,Pending,2025,3,March
105,1314,2025-11-01,Emergency Leave,1,Approved,2025,11,November
106,1134,2025-03-25,Sick Leave,2,Rejected,2025,3,March
107,1241,2025-11-02,Sick Leave,1,Approved,2025,11,November
108,1345,2025-07-21,Casual Leave,1,Approved,2025,7,July
109,1397,2025-05-07,Casual Leave,3,Approved,2025,5,May
110,1106,2025-01-10,Sick Leave,3,Approved,2025,1,January
111,1198,2025-01-24,Earned Leave,1,Pending,2025,1,January
112,1050,2025-10-06,Emergency Leave,1,Approved,2025,10,October
113,1376,2025-07-09,Sick Leave,3,Approved,2025,7,July
114,1067,2025-07-24,Earned Leave,1,Approved,2025,7,July
115,1028,2025-02-23,Sick Leave,1,Approved,2025,2,February
116,1285,2025-10-01,Earned Leave,2,Pending,2025,10,October
117,1170,2025-05-27,Emergency Leave,1,Pending,2025,5,May
118,1356,2025-08-30,Sick Leave,1,Approved,2025,8,August
119,1093,2025-12-09,Earned Leave,1,Pending,2025,12,December
120,1437,2025-12-03,Emergency Leave,1,Approved,2025,12,December
121,1257,2025-09-28,Sick Leave,1,Approved,2025,9,September
122,1264,2025-07-10,Sick Leave,1,Approved,2025,7,July
123,1126,2025-12-25,Sick Leave,1,Pending,2025,12,December
124,1180,2025-08-11,Earned Leave,1,Pending,2025,8,August
125,1226,2025-10-07,Sick Leave,2,Approved,2025,10,October
126,1355,2025-01-17,Sick Leave,1,Approved,2025,1,January
127,1426,2025-01-21,Casual Leave,1,Approved,2025,1,January
128,1240,2025-07-25,Emergency Leave,2,Approved,2025,7,July
129,1312,2025-06-03,Emergency Leave,1,Approved,2025,6,June
130,1495,2025-11-30,Emergency Leave,1,Approved,2025,11,November
131,1441,2025-07-19,Emergency Leave,1,Approved,2025,7,July
132,1332,2025-06-14,Emergency Leave,1,Approved,2025,6,June
133,1405,2025-01-10,Earned Leave,1,Approved,2025,1,January
134,1292,2025-06-24,Earned Leave,2,Approved,2025,6,June
135,1491,2025-03-12,Emergency Leave,1,Approved,2025,3,March
136,1081,2025-05-09,Casual Leave,1,Approved,2025,5,May
137,1292,2025-03-06,Emergency Leave,1,Approved,2025,3,March
138,1361,2025-07-24,Emergency Leave,2,Approved,2025,7,July
139,1080,2025-04-14,Earned Leave,1,Approved,2025,4,April
140,1178,2025-04-06,Emergency Leave,2,Approved,2025,4,April
141,1470,2025-10-06,Earned Leave,1,Approved,2025,10,October
142,1060,2025-12-17,Earned Leave,1,Approved,2025,12,December
143,1135,2025-11-25,Earned Leave,1,Approved,2025,11,November
144,1464,2025-11-06,Earned Leave,2,Approved,2025,11,November
145,1165,2025-06-08,Emergency Leave,2,Approved,2025,6,June
146,1463,2025-11-23,Emergency Leave,1,Approved,2025,11,November
147,1338,2025-04-12,Sick Leave,1,Approved,2025,4,April
148,1452,2025-07-03,Emergency Leave,1,Approved,2025,7,July
149,1173,2025-04-18,Earned Leave,1,Rejected,2025,4,April
150,1101,2025-03-06,Sick Leave,1,Approved,2025,3,March
151,1258,2025-02-15,Casual Leave,1,Approved,2025,2,February
152,1224,2025-01-06,Emergency Leave,2,Approved,2025,1,January
153,1366,2025-09-24,Earned Leave,1,Approved,2025,9,September
154,1151,2025-12-30,Sick Leave,1,Approved,2025,12,December
155,1411,2025-10-29,Sick Leave,2,Approved,2025,10,October
156,1335,2025-04-25,Earned Leave,1,Rejected,2025,4,April
157,1072,2025-06-28,Casual Leave,2,Approved,2025,6,June
158,1310,2025-04-15,Earned Leave,1,Approved,2025,4,April
159,1092,2025-04-28,Sick Leave,1,Approved,2025,4,April
160,1046,2025-03-08,Casual Leave,2,Approved,2025,3,March
161,1364,2025-06-23,Earned Leave,1,Approved,2025,6,June
162,1463,2025-05-14,Casual Leave,1,Pending,2025,5,May
163,1332,2025-11-09,Casual Leave,1,Approved,2025,11,November
164,1109,2025-09-20,Casual Leave,1,Approved,2025,9,September
165,1226,2025-06-03,Casual Leave,1,Pending,2025,6,June
166,1364,2025-11-15,Sick Leave,1,Approved,2025,11,November
167,1024,2025-12-28,Casual Leave,1,Approved,2025,12,December
168,1246,2025-04-16,Emergency Leave,1,Approved,2025,4,April
169,1344,2025-08-19,Earned Leave,2,Approved,2025,8,August
170,1084,2025-08-09,Earned Leave,2,Approved,2025,8,August
171,1164,2025-08-05,Sick Leave,2,Approved,2025,8,August
172,1215,2025-08-31,Casual Leave,1,Approved,2025,8,August
173,1026,2025-01-28,Emergency Leave,1,Pending,2025,1,January
174,1060,2025-11-17,Sick Leave,1,Approved,2025,11,November
