Performance_ID,Employee_ID,Review_Month,Performance_Score,Productivity_Score,Manager_Rating,Review_Year,Review_Month_Number,Review_Month_Name
1,1001,2025-01-01,5.9,95.1,5.9,2025,1,January
2,1001,2025-02-01,7.5,81.5,7.6,2025,2,February
3,1001,2025-03-01,8.7,73.9,9.5,2025,3,March
4,1001,2025-04-01,8.1,65.2,8.7,2025,4,April
5,1001,2025-05-01,6.4,58.4,5.6,2025,5,May
6,1001,2025-06-01,7.0,72.5,7.7,2025,6,June
7,1001,2025-07-01,6.1,66.0,6.9,2025,7,July
8,1001,2025-08-01,7.1,59.9,8.6,2025,8,August
9,1001,2025-09-01,5.9,75.1,5.2,2025,9,September
10,1001,2025-10-01,7.2,30.0,8.6,2025,10,October
11,1001,2025-11-01,5.8,53.6,6.1,2025,11,November
12,1001,2025-12-01,7.2,97.8,9.6,2025,12,December
13,1002,2025-01-01,5.3,65.6,6.0,2025,1,January
14,1002,2025-02-01,7.3,94.0,7.9,2025,2,February
15,1002,2025-03-01,7.3,68.7,6.4,2025,3,March
16,1002,2025-04-01,8.0,39.2,8.5,2025,4,April
17,1002,2025-05-01,7.4,82.3,5.0,2025,5,May
18,1002,2025-06-01,9.3,75.9,8.3,2025,6,June
19,1002,2025-07-01,9.0,89.7,7.9,2025,7,July
20,1002,2025-08-01,10.0,79.6,9.1,2025,8,August
21,1002,2025-09-01,6.5,73.9,5.5,2025,9,September
22,1002,2025-10-01,6.2,60.2,7.6,2025,10,October
23,1002,2025-11-01,5.3,77.1,5.9,2025,11,November
24,1002,2025-12-01,7.9,71.6,8.4,2025,12,December
25,1003,2025-01-01,7.8,81.7,7.5,2025,1,January
26,1003,2025-02-01,6.6,82.5,6.4,2025,2,February
27,1003,2025-03-01,7.5,74.2,9.1,2025,3,March
28,1003,2025-04-01,7.6,91.9,6.6,2025,4,April
29,1003,2025-05-01,10.0,71.0,10.0,2025,5,May
30,1003,2025-06-01,6.7,57.1,6.6,2025,6,June
31,1003,2025-07-01,7.0,65.8,7.5,2025,7,July
32,1003,2025-08-01,8.3,77.2,8.6,2025,8,August
33,1003,2025-09-01,7.7,79.8,7.0,2025,9,September
34,1003,2025-10-01,5.7,79.4,4.9,2025,10,October
35,1003,2025-11-01,8.0,43.0,6.9,2025,11,November
36,1003,2025-12-01,9.0,95.9,7.9,2025,12,December
37,1004,2025-01-01,8.4,66.9,8.4,2025,1,January
38,1004,2025-02-01,7.0,32.2,7.3,2025,2,February
39,1004,2025-03-01,5.9,71.5,7.5,2025,3,March
40,1004,2025-04-01,7.5,71.2,6.3,2025,4,April
41,1004,2025-05-01,7.1,72.2,9.1,2025,5,May
42,1004,2025-06-01,7.3,47.3,5.4,2025,6,June
43,1004,2025-07-01,6.3,68.4,7.5,2025,7,July
44,1004,2025-08-01,7.5,78.0,7.3,2025,8,August
45,1004,2025-09-01,6.6,72.6,7.6,2025,9,September
46,1004,2025-10-01,5.3,77.9,4.4,2025,10,October
47,1004,2025-11-01,7.5,65.5,7.8,2025,11,November
48,1004,2025-12-01,9.7,67.4,8.6,2025,12,December
49,1005,2025-01-01,8.4,77.1,6.7,2025,1,January
50,1005,2025-02-01,6.8,76.7,6.7,2025,2,February
51,1005,2025-03-01,9.3,66.0,10.0,2025,3,March
52,1005,2025-04-01,7.0,63.4,6.1,2025,4,April
53,1005,2025-05-01,8.0,72.7,7.6,2025,5,May
54,1005,2025-06-01,7.3,66.4,6.4,2025,6,June
55,1005,2025-07-01,10.0,87.4,9.4,2025,7,July
56,1005,2025-08-01,10.0,98.2,10.0,2025,8,August
57,1005,2025-09-01,9.2,74.8,10.0,2025,9,September
58,1005,2025-10-01,5.6,95.2,5.5,2025,10,October
59,1005,2025-11-01,6.3,97.1,6.0,2025,11,November
60,1005,2025-12-01,5.6,99.5,5.0,2025,12,December
61,1006,2025-01-01,6.7,77.8,5.2,2025,1,January
62,1006,2025-02-01,6.8,77.9,6.6,2025,2,February
63,1006,2025-03-01,6.0,68.8,5.7,2025,3,March
64,1006,2025-04-01,7.2,68.6,7.3,2025,4,April
65,1006,2025-05-01,8.6,70.9,9.3,2025,5,May
66,1006,2025-06-01,6.7,69.7,6.9,2025,6,June
67,1006,2025-07-01,5.7,60.8,5.0,2025,7,July
68,1006,2025-08-01,6.5,70.0,6.2,2025,8,August
69,1006,2025-09-01,8.1,76.6,8.6,2025,9,September
70,1006,2025-10-01,7.2,73.9,7.2,2025,10,October
71,1006,2025-11-01,7.7,58.2,7.5,2025,11,November
72,1006,2025-12-01,8.6,98.9,7.6,2025,12,December
73,1007,2025-01-01,5.2,45.8,5.7,2025,1,January
74,1007,2025-02-01,6.2,67.7,7.2,2025,2,February
75,1007,2025-03-01,7.7,68.0,6.6,2025,3,March
76,1007,2025-04-01,5.0,63.7,4.5,2025,4,April
77,1007,2025-05-01,7.4,71.9,7.2,2025,5,May
78,1007,2025-06-01,7.4,59.8,9.7,2025,6,June
79,1007,2025-07-01,8.9,72.8,9.6,2025,7,July
80,1007,2025-08-01,6.7,46.5,6.2,2025,8,August
81,1007,2025-09-01,7.4,60.7,8.7,2025,9,September
82,1007,2025-10-01,5.3,100.0,5.5,2025,10,October
83,1007,2025-11-01,6.7,100.0,7.4,2025,11,November
84,1007,2025-12-01,7.3,67.8,6.3,2025,12,December
85,1008,2025-01-01,5.5,91.2,6.1,2025,1,January
86,1008,2025-02-01,6.9,55.6,6.1,2025,2,February
87,1008,2025-03-01,6.7,79.3,6.4,2025,3,March
88,1008,2025-04-01,4.0,76.4,4.4,2025,4,April
89,1008,2025-05-01,8.2,66.8,7.4,2025,5,May
90,1008,2025-06-01,8.0,68.5,7.4,2025,6,June
91,1008,2025-07-01,6.1,72.6,7.1,2025,7,July
92,1008,2025-08-01,9.1,75.5,8.9,2025,8,August
