Attendance_ID,Employee_ID,Date,Status,Working_Hours,Overtime_Hours
1,1001,2025-12-26,Present,8.3,1.5
2,1001,2025-06-16,Present,8.7,2.2
3,1001,2025-10-23,Present,8.5,0.7
4,1001,2025-05-27,Present,8.1,0.1
5,1001,2025-07-23,Present,8.4,2.2
6,1001,2025-07-21,Present,8.4,1.8
7,1001,2025-09-03,Present,8.7,1.6
8,1001,2025-10-03,Present,7.0,3.3
9,1001,2025-02-20,Present,7.3,3.0
10,1001,2025-05-12,Present,9.3,0.0
11,1001,2025-10-28,Present,8.9,0.0
12,1001,2025-01-29,Present,8.6,2.2
13,1001,2025-06-24,Present,9.3,1.5
14,1001,2025-06-09,Present,8.8,0.9
15,1001,2025-06-18,Present,8.8,1.4
16,1001,2025-11-07,Present,8.9,0.0
17,1001,2025-09-12,Present,9.2,1.1
18,1001,2025-06-03,Present,8.1,1.1
19,1001,2025-04-15,WFH,7.6,2.8
20,1001,2025-05-16,Present,7.5,1.3
21,1001,2025-08-12,Present,9.0,0.7
22,1001,2025-08-08,Present,7.2,0.6
23,1001,2025-04-24,Leave,0.0,0.0
24,1001,2025-02-05,Present,8.1,1.3
25,1001,2025-05-19,Present,7.9,0.0
26,1001,2025-11-26,Present,9.2,0.7
27,1001,2025-11-17,Present,9.0,0.0
28,1001,2025-02-27,Present,8.3,1.8
29,1001,2025-08-14,Present,7.5,0.0
30,1001,2025-11-28,Absent,0.0,0.0
31,1001,2025-12-24,Present,9.2,1.8
32,1001,2025-06-06,Present,9.1,0.6
33,1001,2025-10-16,Present,8.3,1.2
34,1001,2025-04-21,Present,8.3,0.3
35,1001,2025-05-05,Absent,0.0,0.0
36,1001,2025-04-17,Present,7.5,0.0
37,1001,2025-05-15,Present,7.1,2.4
38,1001,2025-09-05,Present,7.7,1.5
39,1001,2025-04-10,Present,8.3,0.6
40,1001,2025-03-04,Absent,0.0,0.0
41,1001,2025-04-09,WFH,8.9,1.6
42,1001,2025-09-26,Present,9.0,1.3
43,1001,2025-12-05,Present,9.3,2.7
44,1001,2025-07-30,Present,8.9,0.0
45,1001,2025-09-01,Present,9.2,0.3
46,1001,2025-07-10,Absent,0.0,0.0
47,1001,2025-02-07,Absent,0.0,0.0
48,1001,2025-09-29,Present,7.9,1.4
49,1001,2025-10-17,Present,7.6,1.4
50,1001,2025-07-01,Present,9.1,0.5
51,1001,2025-08-07,Present,8.3,1.1
52,1001,2025-12-19,Present,8.2,1.0
53,1001,2025-10-10,Present,7.0,0.4
54,1001,2025-01-07,Present,8.8,0.0
55,1001,2025-01-15,Present,8.2,2.4
56,1001,2025-03-14,Leave,0.0,0.0
57,1001,2025-01-16,Present,9.0,0.3
58,1001,2025-05-07,Present,8.4,0.0
59,1001,2025-07-29,Present,9.2,0.0
60,1001,2025-03-25,Present,8.6,0.0
61,1001,2025-01-10,Present,7.8,1.0
62,1001,2025-04-02,Present,7.6,0.0
63,1001,2025-11-18,Present,8.4,0.0
64,1001,2025-05-30,WFH,8.0,1.3
65,1001,2025-12-03,Present,8.0,1.2
66,1001,2025-09-15,Present,7.5,1.3
67,1001,2025-06-10,Present,7.1,0.0
68,1001,2025-03-19,WFH,8.7,1.6
69,1001,2025-01-09,Present,9.5,0.8
70,1001,2025-10-01,Present,7.3,1.5
71,1001,2025-08-21,Present,9.4,1.9
72,1001,2025-01-02,Present,8.5,1.2
73,1001,2025-10-22,Present,9.2,1.7
74,1001,2025-03-03,Present,8.8,1.1
75,1001,2025-06-17,Present,8.9,1.4
76,1001,2025-01-28,Present,9.2,0.5
77,1001,2025-04-14,Present,8.3,0.5
78,1001,2025-12-17,Present,9.1,0.4
79,1001,2025-08-11,Present,8.0,0.0
80,1001,2025-01-27,Present,7.0,0.0
81,1001,2025-12-22,Present,8.2,0.1
82,1001,2025-08-26,Present,8.9,1.0
83,1001,2025-01-17,WFH,8.1,2.0
84,1001,2025-05-08,Present,9.5,0.7
85,1001,2025-04-22,Present,8.8,0.2
86,1001,2025-11-12,Present,8.8,0.0
87,1001,2025-10-20,Present,7.9,0.0
88,1001,2025-09-23,WFH,7.9,1.1
89,1001,2025-05-09,Present,8.6,1.1
90,1001,2025-11-11,Present,7.3,0.9
91,1001,2025-06-23,Present,8.4,0.2
92,1001,2025-07-02,Present,7.9,1.9
93,1001,2025-05-29,Present,7.5,1.6
94,1001,2025-02-10,Present,8.0,0.0
95,1001,2025-08-15,Present,7.4,2.1
96,1001,2025-12-15,Present,8.5,2.3
97,1001,2025-10-31,Leave,0.0,0.0
98,1001,2025-09-25,Present,8.9,0.4
99,1001,2025-10-29,Present,8.0,0.0
100,1001,2025-01-20,Present,7.5,2.3
101,1001,2025-02-14,Present,9.2,1.2
102,1001,2025-09-09,Present,8.4,1.5
103,1001,2025-04-18,Present,7.3,0.0
104,1001,2025-07-17,WFH,8.1,0.0
105,1001,2025-02-18,Present,8.3,2.1
106,1001,2025-02-28,Present,8.3,1.5
107,1001,2025-04-25,Absent,0.0,0.0
108,1001,2025-01-24,Present,7.7,1.8
109,1001,2025-11-27,Present,8.9,1.3
110,1001,2025-07-15,Absent,0.0,0.0
111,1001,2025-08-13,Present,9.5,1.5
112,1001,2025-05-20,Present,7.4,1.5
113,1001,2025-09-11,Present,8.2,0.2
114,1001,2025-05-06,Leave,0.0,0.0
115,1001,2025-10-30,Absent,0.0,0.0
116,1001,2025-12-08,Present,9.1,0.0
117,1001,2025-07-25,Absent,0.0,0.0
118,1001,2025-03-31,Present,7.5,2.5
119,1001,2025-03-18,Present,8.7,0.9
120,1001,2025-10-21,Present,8.9,1.4
121,1001,2025-08-27,WFH,9.1,1.7
122,1001,2025-09-02,Leave,0.0,0.0
123,1001,2025-09-17,WFH,9.0,3.2
124,1001,2025-03-10,Present,7.8,0.0
125,1001,2025-03-28,WFH,9.2,0.5
126,1001,2025-07-07,Present,7.2,1.9
127,1001,2025-11-10,Present,7.0,0.0
128,1001,2025-06-12,Present,8.3,1.9
129,1001,2025-03-13,Present,9.3,0.0
130,1001,2025-12-16,Present,7.2,0.0
131,1001,2025-01-08,Present,8.8,0.0
132,1001,2025-10-08,Present,8.4,1.2
133,1001,2025-04-11,Leave,0.0,0.0
134,1001,2025-07-22,Present,7.9,2.3
135,1001,2025-12-29,Present,8.1,2.2
136,1001,2025-08-29,Present,9.2,1.5
137,1001,2025-11-24,Present,9.4,0.7
138,1001,2025-01-01,Absent,0.0,0.0
139,1001,2025-07-31,Present,9.2,0.3
140,1001,2025-05-14,Present,9.4,1.0
141,1001,2025-11-21,Present,8.4,1.6
142,1001,2025-05-26,Present,7.5,1.4
143,1001,2025-05-02,Present,8.4,1.4
144,1001,2025-06-26,Present,8.7,0.7
145,1001,2025-04-23,Present,7.4,0.0
146,1001,2025-02-19,Present,9.3,0.0
147,1001,2025-03-12,Present,9.4,1.0
148,1001,2025-04-01,Absent,0.0,0.0
149,1001,2025-05-22,Present,7.2,1.8
150,1001,2025-10-27,Present,7.2,2.4
151,1001,2025-11-19,Present,7.6,1.6
152,1001,2025-08-28,Leave,0.0,0.0
153,1001,2025-08-01,Present,7.6,1.6
154,1001,2025-11-14,Present,9.4,2.4
155,1001,2025-03-07,Present,7.9,1.0
156,1001,2025-11-25,Present,7.5,1.0
157,1001,2025-01-23,Present,8.7,2.4
158,1001,2025-01-14,WFH,8.9,2.2
159,1001,2025-07-14,Present,7.9,0.0
160,1001,2025-01-13,Present,9.2,0.0
161,1001,2025-02-13,Present,8.4,0.4
162,1001,2025-02-12,Present,8.2,2.2
163,1001,2025-03-24,Present,9.4,0.7
164,1001,2025-10-02,Present,9.5,0.0
165,1001,2025-12-23,Present,7.3,1.3
166,1001,2025-10-09,Present,7.1,0.0
167,1001,2025-01-30,Absent,0.0,0.0
168,1001,2025-01-22,Present,7.9,1.7
169,1001,2025-02-24,Present,8.2,2.3
170,1001,2025-06-13,Absent,0.0,0.0
171,1001,2025-09-18,Present,7.8,0.6
172,1001,2025-06-20,WFH,8.0,1.8
173,1001,2025-06-25,Present,7.7,0.0
174,1001,2025-08-05,Present,8.4,0.3
175,1001,2025-12-02,WFH,8.7,1.0
176,1001,2025-02-04,Present,9.4,0.0
177,1001,2025-10-07,Present,8.3,2.9
178,1001,2025-02-11,Present,8.7,0.4
179,1001,2025-03-11,Present,7.3,0.5
