Leave_ID,Employee_ID,Leave_Date,Leave_Type,Leave_Days,Approval_Status
1,1006,2025-03-19,Casual Leave,3,Approved
2,1266,2025-03-18,Sick Leave,2,Approved
3,1157,2025-05-06,Earned Leave,3,Approved
4,1378,2025-10-03,Casual Leave,1,Pending
5,1044,2025-01-28,Sick Leave,1,Pending
6,1372,2025-11-05,Earned Leave,1,Approved
7,1186,2025-12-19,Emergency Leave,2,Approved
8,1200,2025-10-29,Casual Leave,1,Approved
9,1149,2025-09-21,Sick Leave,1,Approved
10,1094,2025-04-04,Sick Leave,1,Rejected
11,1444,2025-01-16,Emergency Leave,1,Approved
12,1286,2025-06-28,Emergency Leave,1,Approved
13,1431,2025-11-26,Casual Leave,1,Approved
14,1148,2025-03-04,Emergency Leave,3,Approved
15,1301,2025-07-01,Sick Leave,1,Approved
16,1115,2025-09-03,Sick Leave,1,Approved
17,1491,2025-09-17,Emergency Leave,1,Approved
18,1131,2025-06-24,Earned Leave,1,Approved
19,1099,2025-05-06,Earned Leave,2,Approved
20,1458,2025-03-20,Earned Leave,1,Approved
21,1380,2025-10-30,Sick Leave,1,Approved
22,1486,2025-06-27,Earned Leave,2,Approved
23,1062,2025-11-24,Sick Leave,1,Approved
24,1426,2025-08-19,Casual Leave,1,Approved
25,1300,2025-07-07,Casual Leave,1,Approved
26,1337,2025-10-07,Emergency Leave,2,Approved
27,1445,2025-05-12,Casual Leave,3,Approved
28,1274,2025-10-04,Emergency Leave,1,Approved
29,1484,2025-07-04,Earned Leave,2,Approved
30,1459,2025-10-17,Casual Leave,1,Approved
31,1251,2025-04-05,Emergency Leave,1,Approved
32,1272,2025-04-27,Sick Leave,3,Approved
33,1218,2025-03-04,Earned Leave,1,Rejected
34,1485,2025-06-14,Emergency Leave,1,Approved
35,1427,2025-02-02,Casual Leave,1,Pending
36,1376,2025-12-22,Earned Leave,1,Approved
37,1117,2025-07-16,Sick Leave,2,Approved
38,1071,2025-09-09,Sick Leave,3,Rejected
39,1398,2025-05-21,Earned Leave,2,Approved
40,1173,2025-05-15,Earned Leave,1,Approved
41,1274,2025-10-04,Emergency Leave,2,Rejected
42,1454,2025-11-01,Casual Leave,1,Approved
43,1458,2025-02-04,Sick Leave,1,Approved
44,1080,2025-10-04,Emergency Leave,1,Rejected
45,1427,2025-05-01,Earned Leave,1,Approved
46,1088,2025-03-26,Casual Leave,1,Approved
47,1032,2025-09-23,Earned Leave,2,Approved
48,1347,2025-11-17,Emergency Leave,1,Approved
49,1345,2025-09-07,Emergency Leave,1,Approved
50,1063,2025-08-09,Emergency Leave,1,Approved
51,1092,2025-08-21,Earned Leave,1,Approved
52,1340,2025-11-06,Casual Leave,1,Approved
53,1401,2025-12-08,Emergency Leave,1,Approved
54,1200,2025-02-06,Emergency Leave,1,Approved
55,1228,2025-09-29,Emergency Leave,1,Approved
56,1339,2025-04-15,Earned Leave,1,Approved
57,1026,2025-09-23,Sick Leave,1,Approved
58,1244,2025-02-20,Sick Leave,2,Approved
59,1023,2025-04-01,Casual Leave,1,Approved
60,1433,2025-08-02,Emergency Leave,1,Rejected
61,1432,2025-02-04,Earned Leave,2,Approved
62,1436,2025-04-02,Sick Leave,1,Approved
63,1359,2025-08-21,Earned Leave,1,Pending
64,1004,2025-09-18,Sick Leave,1,Approved
65,1447,2025-03-04,Casual Leave,1,Rejected
66,1084,2025-04-25,Sick Leave,1,Approved
67,1362,2025-08-23,Emergency Leave,1,Approved
68,1393,2025-10-03,Casual Leave,2,Rejected
69,1481,2025-04-16,Earned Leave,1,Approved
70,1320,2025-12-26,Emergency Leave,1,Approved
71,1481,2025-07-17,Earned Leave,2,Approved
72,1009,2025-07-02,Sick Leave,2,Pending
73,1005,2025-06-24,Earned Leave,1,Approved
74,1497,2025-10-22,Casual Leave,2,Approved
75,1286,2025-02-24,Emergency Leave,3,Approved
76,1436,2025-08-02,Sick Leave,1,Approved
77,1113,2025-09-02,Sick Leave,1,Approved
78,1491,2025-11-13,Earned Leave,1,Pending
79,1352,2025-05-12,Earned Leave,1,Approved
80,1399,2025-10-23,Emergency Leave,1,Approved
81,1415,2025-04-30,Casual Leave,1,Rejected
82,1072,2025-07-29,Sick Leave,1,Approved
83,1442,2025-06-21,Sick Leave,1,Approved
84,1043,2025-04-30,Earned Leave,1,Rejected
85,1440,2025-10-02,Sick Leave,1,Approved
86,1382,2025-12-23,Emergency Leave,1,Approved
87,1272,2025-12-03,Casual Leave,3,Approved
88,1178,2025-09-19,Sick Leave,1,Rejected
89,1486,2025-01-30,Earned Leave,2,Approved
90,1147,2025-06-21,Earned Leave,1,Approved
91,1077,2025-04-13,Casual Leave,1,Approved
92,1241,2025-11-01,,2,Approved
93,1461,2025-02-11,Casual Leave,2,Approved
94,1440,2025-11-20,Earned Leave,1,Approved
95,1281,2025-12-20,Earned Leave,1,Approved
96,1471,2025-12-23,Earned Leave,1,Approved
97,1277,2025-01-18,Emergency Leave,3,Approved
98,1062,2025-01-19,Emergency Leave,1,Approved
99,1116,2025-03-27,Earned Leave,1,Rejected
100,1395,2025-07-18,Earned Leave,1,Rejected
101,1087,2025-07-13,Casual Leave,1,Approved
102,1009,2025-01-12,Earned Leave,1,Approved
103,1216,2025-12-29,Earned Leave,1,Approved
104,1072,2025-03-30,Emergency Leave,2,Pending
105,1314,2025-11-01,Emergency Leave,1,Approved
106,1134,2025-03-25,Sick Leave,2,Rejected
107,1241,2025-11-02,Sick Leave,1,Approved
108,1345,2025-07-21,Casual Leave,1,Approved
109,1397,2025-05-07,Casual Leave,3,Approved
110,1106,2025-01-10,Sick Leave,3,Approved
111,1198,2025-01-24,Earned Leave,1,Pending
112,1050,2025-10-06,Emergency Leave,1,Approved
113,1376,2025-07-09,Sick Leave,3,Approved
114,1067,2025-07-24,Earned Leave,1,Approved
115,1028,2025-02-23,Sick Leave,1,Approved
116,1285,2025-10-01,Earned Leave,2,Pending
